Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
8249,299.66,283.7,1.410000000000025,1.2299999999999613
8267,301.14,284.85,1.4799999999999613,1.150000000000034
8286,302.61,285.97,1.4700000000000273,1.1200000000000045
8303,304.04,287.06,1.4300000000000068,1.089999999999975
8320,305.66,288.34,1.6200000000000045,1.2799999999999727
8337,307.22,289.67,1.5600000000000023,1.330000000000041
8355,308.81,291.0,1.589999999999975,1.329999999999984
8372,310.38,292.2,1.5699999999999932,1.1999999999999886
8390,311.86,293.79,1.4800000000000182,1.5900000000000318
8407,313.43,294.6,1.5699999999999932,0.8100000000000023
8425,314.73,295.69,1.3000000000000114,1.089999999999975
8441,316.17,297.05,1.4399999999999977,1.3600000000000136
8459,317.57,298.22,1.3999999999999773,1.170000000000016
8476,318.93,299.37,1.3600000000000136,1.1499999999999773
8495,320.29,300.65,1.3600000000000136,1.2799999999999727
8512,321.64,302.01,1.349999999999966,1.3600000000000136
8528,323.02,303.31,1.3799999999999955,1.3000000000000114
8545,324.3,304.51,1.2800000000000296,1.1999999999999886
8563,325.66,305.66,1.3600000000000136,1.150000000000034
8580,327.09,306.78,1.42999999999995,1.1199999999999477
8598,328.87,308.45,1.7800000000000296,1.670000000000016
8614,330.09,309.62,1.2199999999999704,1.170000000000016
8632,331.16,310.59,1.07000000000005,0.9699999999999704
8651,332.28,311.99,1.1199999999999477,1.400000000000034
8670,333.61,313.4,1.330000000000041,1.4099999999999682
8688,334.71,314.63,1.099999999999966,1.2300000000000182
8704,335.88,315.64,1.170000000000016,1.009999999999991
8721,337.16,316.61,1.2800000000000296,0.9700000000000273
8739,338.49,318.15,1.329999999999984,1.5399999999999636
8757,339.74,319.48,1.25,1.330000000000041
8774,341.02,320.76,1.2799999999999727,1.2799999999999727
8792,342.35,321.98,1.330000000000041,1.2200000000000273
8811,343.7,323.02,1.349999999999966,1.0399999999999636
8828,345.09,323.91,1.3899999999999864,0.8900000000000432
8845,346.44,324.82,1.3500000000000227,0.9099999999999682
8862,347.85,326.0,1.410000000000025,1.1800000000000068
