Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
5937,31.16,57.48,0.5199999999999996,0.5999999999999943
5954,32.02,58.21,0.860000000000003,0.730000000000004
5971,32.47,58.62,0.44999999999999574,0.4099999999999966
5988,32.96,59.04,0.490000000000002,0.4200000000000017
6004,33.54,59.54,0.5799999999999983,0.5
6022,34.19,60.06,0.6499999999999986,0.5200000000000031
6039,34.81,60.55,0.6200000000000045,0.4899999999999949
6056,35.36,61.13,0.5499999999999972,0.5800000000000054
6073,35.96,61.67,0.6000000000000014,0.5399999999999991
6090,36.53,62.17,0.5700000000000003,0.5
6106,37.21,62.9,0.6799999999999997,0.7299999999999969
6122,37.92,63.39,0.7100000000000009,0.490000000000002
6139,38.44,63.79,0.519999999999996,0.3999999999999986
6156,39.12,64.36,0.6799999999999997,0.5700000000000003
6172,39.77,64.91,0.6500000000000057,0.5499999999999972
6190,40.5,65.53,0.7299999999999969,0.6200000000000045
6207,41.15,66.16,0.6499999999999986,0.6299999999999955
6225,41.85,66.71,0.7000000000000028,0.5499999999999972
6242,42.58,67.28,0.7299999999999969,0.5700000000000074
6258,43.24,67.8,0.6600000000000037,0.519999999999996
6275,44.07,68.45,0.8299999999999983,0.6500000000000057
6292,44.64,68.9,0.5700000000000003,0.45000000000000284
6309,45.27,69.42,0.6300000000000026,0.519999999999996
6326,45.97,69.94,0.6999999999999957,0.519999999999996
6342,46.63,70.38,0.6600000000000037,0.4399999999999977
6359,47.33,70.85,0.6999999999999957,0.46999999999999886
6375,48.01,71.32,0.6799999999999997,0.46999999999999886
6392,48.63,71.74,0.6200000000000045,0.4200000000000017
6408,49.26,72.26,0.6299999999999955,0.5200000000000102
6425,50.15,72.83,0.8900000000000006,0.5699999999999932
6441,50.75,73.2,0.6000000000000014,0.37000000000000455
6460,51.43,73.67,0.6799999999999997,0.46999999999999886
6478,52.13,74.11,0.7000000000000028,0.4399999999999977
6494,52.76,74.63,0.6299999999999955,0.519999999999996
6510,53.46,75.05,0.7000000000000028,0.4200000000000017
6526,54.09,75.47,0.6300000000000026,0.4200000000000017
6541,54.82,75.91,0.7299999999999969,0.4399999999999977
6557,55.55,76.36,0.7299999999999969,0.45000000000000284
6572,56.48,76.93,0.9299999999999997,0.5700000000000074
6589,57.06,77.24,0.5800000000000054,0.30999999999998806
6604,57.63,77.5,0.5700000000000003,0.2600000000000051
6621,58.26,77.95,0.6299999999999955,0.45000000000000284
6637,58.94,78.42,0.6799999999999997,0.46999999999999886
6653,59.51,78.91,0.5700000000000003,0.4899999999999949
6669,60.14,79.33,0.6300000000000026,0.4200000000000017
6685,60.71,79.64,0.5700000000000003,0.3100000000000023
6701,61.36,80.19,0.6499999999999986,0.5499999999999972
6718,62.04,80.53,0.6799999999999997,0.3400000000000034
6734,62.51,80.89,0.46999999999999886,0.35999999999999943
6751,63.13,81.31,0.6200000000000045,0.4200000000000017
6767,63.71,81.73,0.5799999999999983,0.4200000000000017
6782,64.33,82.22,0.6199999999999974,0.4899999999999949
6798,64.86,82.67,0.5300000000000011,0.45000000000000284
6814,65.45,83.14,0.5900000000000034,0.46999999999999886
6830,66.03,83.63,0.5799999999999983,0.4899999999999949
6847,66.55,84.02,0.519999999999996,0.39000000000000057
6862,67.25,84.49,0.7000000000000028,0.46999999999999886
6880,67.65,84.78,0.4000000000000057,0.29000000000000625
6896,68.17,85.09,0.519999999999996,0.3100000000000023
6912,68.66,85.48,0.4899999999999949,0.39000000000000057
6928,69.18,85.9,0.5200000000000102,0.4200000000000017
6944,69.73,86.42,0.5499999999999972,0.519999999999996
6961,70.33,86.94,0.5999999999999943,0.519999999999996
6977,70.88,87.41,0.5499999999999972,0.46999999999999886
6992,71.35,87.88,0.46999999999999886,0.46999999999999886
7009,72.03,88.38,0.6800000000000068,0.5
7026,72.44,88.72,0.4099999999999966,0.3400000000000034
7042,73.04,89.19,0.6000000000000085,0.46999999999999886
7058,73.64,89.66,0.5999999999999943,0.46999999999999886
7074,74.16,90.2,0.519999999999996,0.5400000000000063
7091,74.74,90.75,0.5799999999999983,0.5499999999999972
7107,75.23,91.35,0.4900000000000091,0.5999999999999943
7123,75.81,91.92,0.5799999999999983,0.5700000000000074
7139,76.38,92.42,0.5699999999999932,0.5
7156,77.11,93.15,0.730000000000004,0.730000000000004
7172,77.56,93.54,0.45000000000000284,0.39000000000000057
7190,78.0,93.91,0.4399999999999977,0.36999999999999034
7207,78.49,94.43,0.4899999999999949,0.5200000000000102
7224,78.99,94.92,0.5,0.4899999999999949
7240,79.54,95.42,0.5500000000000114,0.5
7257,80.11,95.84,0.5699999999999932,0.4200000000000017
7275,80.71,96.38,0.5999999999999943,0.539999999999992
7293,81.44,97.06,0.730000000000004,0.6800000000000068
7308,82.12,97.87,0.6800000000000068,0.8100000000000023
7325,83.03,98.31,0.9099999999999966,0.4399999999999977
7342,83.68,98.7,0.6500000000000057,0.39000000000000057
7359,84.44,99.12,0.7599999999999909,0.4200000000000017
7376,85.27,99.59,0.8299999999999983,0.46999999999999886
7393,86.03,100.09,0.7600000000000051,0.5
7410,86.89,100.76,0.8599999999999994,0.6700000000000017
7426,87.59,101.36,0.7000000000000028,0.5999999999999943
7444,88.3,101.94,0.7099999999999937,0.5799999999999983
7462,88.98,102.72,0.6800000000000068,0.7800000000000011
7481,89.79,103.16,0.8100000000000023,0.4399999999999977
7498,90.39,103.66,0.5999999999999943,0.5
7516,91.06,104.18,0.6700000000000017,0.5200000000000102
7532,91.69,104.73,0.6299999999999955,0.5499999999999972
7548,92.39,105.25,0.7000000000000028,0.519999999999996
7566,93.05,105.77,0.6599999999999966,0.519999999999996
7584,93.67,106.42,0.6200000000000045,0.6500000000000057
7602,94.3,106.79,0.6299999999999955,0.37000000000000455
7618,95.11,107.81,0.8100000000000023,1.019999999999996
7635,95.6,108.17,0.4899999999999949,0.35999999999999943
7652,96.2,108.74,0.6000000000000085,0.5699999999999932
7668,96.9,109.29,0.7000000000000028,0.5500000000000114
7686,97.53,109.84,0.6299999999999955,0.5499999999999972
7704,98.26,110.39,0.730000000000004,0.5499999999999972
7720,99.02,110.83,0.7599999999999909,0.4399999999999977
7737,99.9,111.25,0.8800000000000097,0.4200000000000017
7755,100.71,111.82,0.8099999999999881,0.5699999999999932
7772,101.6,112.5,0.8900000000000006,0.6800000000000068
7790,102.49,113.07,0.8900000000000006,0.5699999999999932
7808,103.37,113.65,0.8800000000000097,0.5800000000000125
7824,104.26,114.19,0.8900000000000006,0.539999999999992
7841,105.15,114.59,0.8900000000000006,0.4000000000000057
7859,105.85,114.9,0.6999999999999886,0.3100000000000023
7876,106.61,115.39,0.7600000000000051,0.4899999999999949
7893,107.39,116.07,0.7800000000000011,0.6799999999999926
7910,108.07,116.67,0.6799999999999926,0.6000000000000085
7927,108.69,117.22,0.6200000000000045,0.5499999999999972
7946,109.34,117.69,0.6500000000000057,0.46999999999999886
7962,109.97,118.13,0.6299999999999955,0.4399999999999977
7981,110.54,118.58,0.5700000000000074,0.45000000000000284
7998,111.12,119.1,0.5799999999999983,0.519999999999996
8015,111.69,119.7,0.5699999999999932,0.6000000000000085
8032,112.32,120.37,0.6299999999999955,0.6700000000000017
8050,113.02,120.95,0.7000000000000028,0.5799999999999983
8067,113.8,121.42,0.7800000000000011,0.46999999999999886
8085,114.59,121.83,0.7900000000000063,0.4099999999999966
8101,115.32,122.25,0.7299999999999898,0.4200000000000017
8119,116.02,122.77,0.7000000000000028,0.519999999999996
8136,116.75,123.48,0.730000000000004,0.710000000000008
8153,117.51,124.0,0.7600000000000051,0.519999999999996
8171,118.26,124.63,0.75,0.6299999999999955
8187,118.99,125.3,0.7299999999999898,0.6700000000000017
8204,119.51,125.85,0.5200000000000102,0.5499999999999972
8220,120.14,126.42,0.6299999999999955,0.5700000000000074
8238,120.77,126.97,0.6299999999999955,0.5499999999999972
8257,121.39,127.52,0.6200000000000045,0.5499999999999972
8274,122.02,128.04,0.6299999999999955,0.519999999999996
8291,122.62,128.62,0.6000000000000085,0.5800000000000125
8308,123.22,129.16,0.5999999999999943,0.539999999999992
8325,123.79,129.74,0.5700000000000074,0.5800000000000125
8343,124.44,130.34,0.6499999999999915,0.5999999999999943
8361,124.91,130.88,0.46999999999999886,0.539999999999992
8378,125.43,131.54,0.5200000000000102,0.6599999999999966
8396,125.96,132.19,0.5299999999999869,0.6500000000000057
8413,126.53,132.79,0.5700000000000074,0.5999999999999943
8431,127.1,133.36,0.5699999999999932,0.5700000000000216
8448,127.73,133.93,0.6300000000000097,0.5699999999999932
8465,128.54,134.64,0.8099999999999881,0.7099999999999795
